smass,color,sSFR,radius,hmass
8.75,-0.3,-17.0,0.05,10.54
8.835,-0.2696,-16.826,0.089,10.627999999999998
8.92,-0.2392,-16.652,0.128,10.716
9.005,-0.20879999999999999,-16.478,0.16699999999999998,10.803999999999998
9.09,-0.1784,-16.304,0.20600000000000002,10.892
9.175,-0.148,-16.13,0.245,10.979999999999999
9.26,-0.11759999999999998,-15.956,0.284,11.068
9.345,-0.0872,-15.782,0.323,11.155999999999999
9.43,-0.05679999999999999,-15.608,0.362,11.244
9.515,-0.02639999999999998,-15.434000000000001,0.40099999999999997,11.331999999999999
9.6,0.0040000000000000036,-15.26,0.44,11.42
9.685,0.034399999999999986,-15.086,0.479,11.508
9.77,0.06480000000000002,-14.911999999999999,0.518,11.596
9.855,0.0952,-14.738,0.557,11.684
9.94,0.1256,-14.564,0.5960000000000001,11.771999999999998
10.025,0.15600000000000003,-14.39,0.635,11.86
10.11,0.1864,-14.216000000000001,0.674,11.947999999999999
10.195,0.21680000000000005,-14.042,0.7130000000000001,12.036
10.28,0.24720000000000003,-13.868,0.752,12.123999999999999
10.365,0.2776,-13.694,0.791,12.212
10.45,0.308,-13.52,0.8300000000000001,12.299999999999999
10.535,0.3384,-13.346,0.869,12.388
10.620000000000001,0.36879999999999996,-13.172,0.908,12.475999999999999
10.705,0.39920000000000005,-12.998000000000001,0.9470000000000001,12.564
10.79,0.42960000000000004,-12.824,0.986,12.652
10.875,0.46,-12.65,1.025,12.739999999999998
10.96,0.4904,-12.475999999999999,1.064,12.828
11.045,0.5207999999999999,-12.302,1.103,12.916
11.13,0.5511999999999999,-12.128,1.1420000000000001,13.004
11.215,0.5816000000000001,-11.954,1.181,13.091999999999999
11.3,0.6120000000000001,-11.780000000000001,1.22,13.18
11.385,0.6424000000000001,-11.606000000000002,1.2590000000000001,13.267999999999999
11.47,0.6728000000000001,-11.432,1.298,13.356
11.555,0.7032,-11.258,1.337,13.443999999999999
11.64,0.7336,-11.084,1.3760000000000001,13.532
11.725,0.764,-10.91,1.415,13.62
11.81,0.7944,-10.736,1.454,13.707999999999998
11.895,0.8248,-10.562000000000001,1.493,13.796
11.98,0.8552,-10.388000000000002,1.532,13.884
12.065000000000001,0.8855999999999999,-10.214,1.571,13.972
12.15,0.9159999999999999,-10.040000000000001,1.61,14.059999999999999
12.235,0.9463999999999999,-9.866,1.649,14.148
12.32,0.9767999999999999,-9.692,1.688,14.235999999999999
12.405000000000001,1.0071999999999999,-9.518,1.727,14.324
12.49,1.0375999999999999,-9.344000000000001,1.766,14.411999999999999
12.575,1.068,-9.170000000000002,1.805,14.5
12.66,1.0984,-8.996,1.844,14.588
12.745000000000001,1.1288,-8.822000000000001,1.883,14.675999999999998
12.83,1.1592,-8.648,1.922,14.764
12.915,1.1896,-8.474,1.961,14.852
13.0,1.22,-8.3,2.0,14.94
